fish_id,Genotype,Position,Tray,Trial,Time,Bin,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,13,1.92305,0.0320937,0.237658,0,0,249.461,-241.836,0,0,2.70356,0.0769092,0.861435,0.0516224
2.2-6.10,het,A2,5,1,1899-12-31T07:00:00Z,14,2.10726,0.0351211,0.212266,0,0,224.002,-146.869,0,0,3.17252,0.0456337,1.29459,0.0726349
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,0,0,0,0,0,0,0,0,0,0,3.87713,0,0,0
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,3,4.32448,0.0721708,0.682197,0,0,551.534,-551.534,0,0,2.83102,0.0599276,6.08615,0.169541
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,4,2.95767,0.0492946,0.429366,0,0,300.252,-300.252,0,0,2.76539,0.00578072,4.68333,0.153939
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,5,118.763,1.97938,41.052,17.32,22,1636.83,-1233.68,7,35.48,0.727336,1.19354,309.84,5.80502
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,6,62.7782,1.0491,16.5556,11.52,22,1119.89,-512.195,4,16.04,1.22843,1.03997,160.225,3.17432
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,7,57.8423,0.964039,12.1557,7.68,14,961.078,-442.595,4,38.52,0.287148,0.392348,130.575,3.04458
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,8,58.0457,0.967429,13.5131,9.88,16,682.465,-607.439,3,4.8,1.444,0.802243,144.46,3.00725
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,9,47.2846,0.788077,10.5273,5.92,11,1149.23,-641.122,2,48,0.239604,0.349706,104.263,2.42
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,10,13.268,0.221134,2.18665,2.72,4,428.784,-317.574,1,2.12,2.53967,0.302949,15.1648,0.5091
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,11,2.05566,0.0343067,0.229881,0,0,226.707,-226.707,0,0,2.89095,0.00300377,1.55252,0.0677241
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,12,0.40964,0.00682733,0.0349434,0,0,129.866,-129.866,0,0,2.90313,4.75366e-4,0.15377,0.0143115
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,13,1.12916,0.0188193,0.10625,0,0,149.738,-149.738,0,0,2.91076,0.00191539,0.0766089,0.0125612
2.2-6.10,het,A2,5,4,1899-12-31T08:12:00Z,14,2.58976,0.0432203,0.256569,0,0,195.352,-195.352,0,0,2.89606,0.00489432,0.355386,0.0418305
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,2,4.16964,0.069494,0.476194,0.4,1,245.878,-199.392,0,0,2.70885,0.258595,6.51205,0.217963
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,3,90.8542,1.51424,46.1984,13.28,15,2305.11,-1501.41,1,1.72,2.14279,0.948616,201.61,3.84044
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,4,0,0,0,0,0,0,0,0,0,2.16034,1.06785e-13,0,0
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,5,171.943,2.86955,69.8908,21.08,25,1681.6,-1122.2,7,26.56,0.818407,1.21258,435.884,8.00384
